"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 12 13:31:26 GMT 2023","Wed Apr 12 13:31:38 GMT 2023","11521","","saucedemo.uitesting.tests.CartTests","","saucedemo.uitesting.tests.CartTests","removeItemsFromCart","removeItemsFromCart()",""
"passed","Wed Apr 12 13:32:30 GMT 2023","Wed Apr 12 13:32:48 GMT 2023","18538","","saucedemo.uitesting.tests.PurchaseFlowTests","","saucedemo.uitesting.tests.PurchaseFlowTests","purchaseItems","purchaseItems()",""
"passed","Wed Apr 12 13:31:07 GMT 2023","Wed Apr 12 13:31:26 GMT 2023","19481","","saucedemo.uitesting.tests.CartTests","","saucedemo.uitesting.tests.CartTests","itemsPreserveSelectionOrder","itemsPreserveSelectionOrder()",""
"passed","Wed Apr 12 13:33:02 GMT 2023","Wed Apr 12 13:33:13 GMT 2023","11867","","saucedemo.uitesting.tests.InventoryTests","","saucedemo.uitesting.tests.InventoryTests","AddRemoveItems","AddRemoveItems()",""
"passed","Wed Apr 12 13:32:04 GMT 2023","Wed Apr 12 13:32:30 GMT 2023","25882","","saucedemo.uitesting.tests.LoginTests","","saucedemo.uitesting.tests.LoginTests","invalidCredentials","invalidCredentials()",""
"passed","Wed Apr 12 13:32:48 GMT 2023","Wed Apr 12 13:33:01 GMT 2023","13439","","saucedemo.uitesting.tests.PurchaseFlowTests","","saucedemo.uitesting.tests.PurchaseFlowTests","checkoutWithNoItems","checkoutWithNoItems()",""
"passed","Wed Apr 12 13:31:38 GMT 2023","Wed Apr 12 13:32:04 GMT 2023","25992","","saucedemo.uitesting.tests.LoginTests","","saucedemo.uitesting.tests.LoginTests","lockedOutUser","lockedOutUser()",""
