"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 03 14:41:46 GMT 2023","Mon Apr 03 14:41:58 GMT 2023","11228","","saucedemo.uitesting.tests.PurchaseFlowTests","","saucedemo.uitesting.tests.PurchaseFlowTests","checkoutWithNoItems","checkoutWithNoItems()",""
"passed","Mon Apr 03 14:41:29 GMT 2023","Mon Apr 03 14:41:46 GMT 2023","17794","","saucedemo.uitesting.tests.PurchaseFlowTests","","saucedemo.uitesting.tests.PurchaseFlowTests","purchaseItems","purchaseItems()",""
"passed","Mon Apr 03 14:41:58 GMT 2023","Mon Apr 03 14:42:21 GMT 2023","23351","","saucedemo.uitesting.tests.LoginTests","","saucedemo.uitesting.tests.LoginTests","lockedOutUser","lockedOutUser()",""
"passed","Mon Apr 03 14:41:19 GMT 2023","Mon Apr 03 14:41:29 GMT 2023","9308","","saucedemo.uitesting.tests.CartTests","","saucedemo.uitesting.tests.CartTests","removeItemsFromCart","removeItemsFromCart()",""
"passed","Mon Apr 03 14:40:55 GMT 2023","Mon Apr 03 14:41:09 GMT 2023","14436","","saucedemo.uitesting.tests.InventoryTests","","saucedemo.uitesting.tests.InventoryTests","AddRemoveItems","AddRemoveItems()",""
"passed","Mon Apr 03 14:42:21 GMT 2023","Mon Apr 03 14:42:44 GMT 2023","23382","","saucedemo.uitesting.tests.LoginTests","","saucedemo.uitesting.tests.LoginTests","invalidCredentials","invalidCredentials()",""
"passed","Mon Apr 03 14:41:09 GMT 2023","Mon Apr 03 14:41:19 GMT 2023","10098","","saucedemo.uitesting.tests.CartTests","","saucedemo.uitesting.tests.CartTests","itemsPreserveSelectionOrder","itemsPreserveSelectionOrder()",""
