"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 05 15:09:24 GMT 2023","Wed Apr 05 15:09:35 GMT 2023","10869","","saucedemo.uitesting.tests.CartTests","","saucedemo.uitesting.tests.CartTests","itemsPreserveSelectionOrder","itemsPreserveSelectionOrder()",""
"passed","Wed Apr 05 15:09:35 GMT 2023","Wed Apr 05 15:09:46 GMT 2023","11549","","saucedemo.uitesting.tests.CartTests","","saucedemo.uitesting.tests.CartTests","removeItemsFromCart","removeItemsFromCart()",""
"passed","Wed Apr 05 15:10:05 GMT 2023","Wed Apr 05 15:10:19 GMT 2023","13611","","saucedemo.uitesting.tests.PurchaseFlowTests","","saucedemo.uitesting.tests.PurchaseFlowTests","checkoutWithNoItems","checkoutWithNoItems()",""
"passed","Wed Apr 05 15:10:45 GMT 2023","Wed Apr 05 15:11:12 GMT 2023","26202","","saucedemo.uitesting.tests.LoginTests","","saucedemo.uitesting.tests.LoginTests","invalidCredentials","invalidCredentials()",""
"passed","Wed Apr 05 15:10:19 GMT 2023","Wed Apr 05 15:10:45 GMT 2023","26705","","saucedemo.uitesting.tests.LoginTests","","saucedemo.uitesting.tests.LoginTests","lockedOutUser","lockedOutUser()",""
"passed","Wed Apr 05 15:08:51 GMT 2023","Wed Apr 05 15:09:24 GMT 2023","32458","","saucedemo.uitesting.tests.InventoryTests","","saucedemo.uitesting.tests.InventoryTests","AddRemoveItems","AddRemoveItems()",""
"passed","Wed Apr 05 15:09:46 GMT 2023","Wed Apr 05 15:10:05 GMT 2023","18745","","saucedemo.uitesting.tests.PurchaseFlowTests","","saucedemo.uitesting.tests.PurchaseFlowTests","purchaseItems","purchaseItems()",""
